date,num,num_cb,sum_mood,sum_mood_cb,mood_economy,mood_cb,mood_cb_without_mood_economy,indicator
2016-08-20,0,0,0.0,0.0,,,,
2016-08-21,0,0,0.0,0.0,,,,
2016-08-22,4,0,-0.45152458269149065,0.0,-0.11288114567287266,,,
2016-08-23,0,23,0.0,-4.769807772245258,,-0.20738294661935905,,
2016-08-24,5,19,-0.8755457275547087,-4.1175230774097145,-0.17510914551094175,-0.21671174091630077,-0.041602595405359016,0.48959935114866027
2016-08-25,5,0,-1.6883050072938204,0.0,-0.3376610014587641,,,
2016-08-26,0,0,0.0,0.0,,,,
2016-08-27,0,0,0.0,0.0,,,,
2016-08-28,4,4,-0.2881044903770089,-0.2881044903770089,-0.07202612259425223,-0.07202612259425223,0.0,0.5
2016-08-29,12,46,-1.637779230484739,-6.977433989290148,-0.1364816025403949,-0.1516833475932641,-0.015201745052869198,0.4961995637367827
2016-08-30,1,16,-0.019889453193172812,-4.090532262809575,-0.019889453193172812,-0.2556582664255984,-0.2357688132324256,0.4410577966918936
2016-08-31,1,0,0.0,0.0,0.0,,,
2016-09-01,29,3,-3.4094098164496245,-0.8159956524614245,-0.11756585573964222,-0.2719985508204748,-0.15443269508083257,0.46139182622979186
2016-09-02,3,11,0.0902528828009963,-2.7145633351319702,0.030084294266998768,-0.24677848501199728,-0.27686277927899605,0.430784305180251
2016-09-03,0,3,0.0,-0.5219744234345853,,-0.1739914744781951,,
2016-09-04,0,0,0.0,0.0,,,,
2016-09-05,0,0,0.0,0.0,,,,
2016-09-06,17,0,-1.1650846518168692,0.0,-0.06853439128334525,,,
2016-09-07,7,7,-0.208285893779248,-1.1354194334708154,-0.029755127682749714,-0.1622027762101165,-0.1324476485273668,0.4668880878681583
2016-09-08,2,14,-0.272614021319896,-2.22036418505013,-0.136307010659948,-0.158597441789295,-0.022290431129347005,0.49442739221766324
2016-09-09,1,1,0.0,-0.45915430039167404,0.0,-0.45915430039167404,-0.45915430039167404,0.3852114249020815
2016-09-10,29,3,-4.85404479598219,-1.015392728149891,-0.16738085503386863,-0.3384642427166303,-0.17108338768276166,0.45722915307930956
2016-09-11,34,0,-6.694019035596284,0.0,-0.1968829128116554,,,
2016-09-12,11,27,-1.7263125160243362,-6.206119080656208,-0.15693750145675783,-0.22985626224652622,-0.07291876078976839,0.4817703098025579
2016-09-13,18,5,-2.73977999901399,-0.3479175220709294,-0.15220999994522166,-0.06958350441418588,0.08262649553103578,0.5206566238827589
2016-09-14,1,14,-0.17103642225265503,-3.253229951253161,-0.17103642225265503,-0.23237356794665434,-0.06133714569399931,0.4846657135765002
2016-09-15,12,11,-1.6833791849203408,-1.1164855215029093,-0.14028159874336174,-0.10149868377299175,0.038782914970369994,0.5096957287425925
2016-09-16,20,68,-1.6587037794961361,-6.981486260090605,-0.08293518897480681,-0.10266891558956773,-0.019733726614760916,0.4950665683463098
2016-09-17,7,4,-1.2912375362357125,0.07584556750953197,-0.18446250517653034,0.018961391877382994,0.20342389705391334,0.5508559742634783
2016-09-18,0,0,0.0,0.0,,,,
2016-09-19,13,6,-2.589463179698214,-1.450365181430243,-0.19918947536140108,-0.24172753023837382,-0.042538054876972736,0.4893654862807568
2016-09-20,50,22,-7.063042710709851,-2.748164274264127,-0.141260854214197,-0.12491655792109668,0.01634429629310033,0.5040860740732751
2016-09-21,25,39,-4.132454372520442,-7.403376203496009,-0.1652981749008177,-0.18983015906400022,-0.02453198416318253,0.49386700395920435
2016-09-22,15,2,-1.8273095993790776,-0.5707651656121016,-0.12182063995860518,-0.2853825828060508,-0.1635619428474456,0.4591095142881386
2016-09-23,5,7,-0.5315764733823016,-0.5129672740586102,-0.10631529467646032,-0.07328103915123003,0.03303425552523029,0.5082585638813075
