date,num_c,num_c_with,sum_mood,sum_mood_with,mood_economy,mood_cb,mood_cb_without_mood_economy,indicator
2014-08-25,24,0,-2.292718464785139,0.0,-0.09552993603271413,,,
2014-08-26,10,0,0.6599669955467107,0.0,0.06599669955467106,,,
2014-08-27,36,0,-1.9554149235336808,0.0,-0.05431708120926891,,,
2014-08-28,10,0,-2.230054649990052,0.0,-0.2230054649990052,,,
2014-08-29,3,0,-0.08977386697370093,0.0,-0.02992462232456698,,,
2014-08-30,0,0,0.0,0.0,,,,
2014-08-31,0,0,0.0,0.0,,,,
2014-09-01,22,1,-3.628360845381394,-0.6040695651900023,-0.16492549297188155,-0.6040695651900023,-0.4391440722181208,0.3902139819454698
2014-09-02,22,0,-4.5578338933119085,0.0,-0.207174267877814,,,
2014-09-03,6,0,-1.0723421927541494,0.0,-0.17872369879235825,,,
2014-09-04,43,0,-5.038727091741748,0.0,-0.11717969980794764,,,
2014-09-05,0,0,0.0,0.0,,,,
2014-09-06,0,0,0.0,0.0,,,,
2014-09-07,0,0,0.0,0.0,,,,
2014-09-08,5,0,-0.12532591057242826,0.0,-0.025065182114485652,,,
2014-09-09,0,0,0.0,0.0,,,,
2014-09-10,0,0,0.0,0.0,,,,
2014-09-11,0,0,0.0,0.0,,,,
2014-09-12,4,0,0.5445589082519291,0.0,0.13613972706298227,,,
2014-09-13,0,0,0.0,0.0,,,,
2014-09-14,0,0,0.0,0.0,,,,
2014-09-15,5,0,-1.5786949255270883,0.0,-0.31573898510541765,,,
2014-09-16,54,0,-9.039751227479428,0.0,-0.1674028005088783,,,
2014-09-17,4,0,-1.426268059760332,0.0,-0.356567014940083,,,
2014-09-18,13,0,-2.9367972629406722,0.0,-0.2259074817646671,,,
2014-09-19,17,1,-2.2350836494733812,-0.49561744183301926,-0.13147550879255185,-0.49561744183301926,-0.3641419330404674,0.40896451673988315
2014-09-20,0,0,0.0,0.0,,,,
2014-09-21,0,0,0.0,0.0,,,,
2014-09-22,16,0,-3.629483761265874,0.0,-0.22684273507911712,,,
2014-09-23,2,0,-0.5760997012257576,0.0,-0.2880498506128788,,,
2014-09-24,0,0,0.0,0.0,,,,
2014-09-25,0,0,0.0,0.0,,,,
2014-09-26,13,1,-2.4455678391532274,-0.15435495553538203,-0.18812060301178674,-0.15435495553538203,0.0337656474764047,0.5084414118691012
2014-09-27,3,0,0.04533844441175461,0.0,0.015112814803918203,,,
2014-09-28,0,0,0.0,0.0,,,,
2014-09-29,40,0,-3.8688888996111928,0.0,-0.09672222249027981,,,
2014-09-30,27,0,-2.231651296839118,0.0,-0.08265375173478215,,,
2014-10-01,72,0,-15.304071993465186,0.0,-0.21255655546479424,,,
2014-10-02,28,0,-3.982896328350762,0.0,-0.14224629744109865,,,
2014-10-03,56,0,-11.42879810417071,0.0,-0.20408568043161981,,,
2014-10-04,6,0,-0.6300706975162029,0.0,-0.10501178291936715,,,
2014-10-05,82,0,-2.6510432159120683,0.0,-0.03232979531600083,,,
2014-10-06,15,0,-0.07457717531360686,0.0,-0.004971811687573791,,,
2014-10-07,40,4,-7.676216906053014,-1.2552231419831514,-0.19190542265132535,-0.31380578549578786,-0.12190036284446251,0.46952490928888435
2014-10-08,20,0,-4.6437401827424765,0.0,-0.2321870091371238,,,
2014-10-09,29,2,-2.756388265872374,0.0012252256274223328,-0.09504787123697842,0.0006126128137111664,0.09566048405068958,0.5239151210126723
2014-10-10,2,0,-0.06533630192279816,0.0,-0.03266815096139908,,,
2014-10-11,0,0,0.0,0.0,,,,
2014-10-12,0,0,0.0,0.0,,,,
2014-10-13,20,1,-4.466330166440457,-0.0371636301279068,-0.22331650832202285,-0.0371636301279068,0.18615287819411605,0.546538219548529
2014-10-14,11,0,-1.9185242913663387,0.0,-0.1744112992151217,,,
2014-10-15,5,0,-0.6681161411834182,0.0,-0.13362322823668366,,,
2014-10-16,0,0,0.0,0.0,,,,
2014-10-17,4,0,0.6043579645338468,0.0,0.1510894911334617,,,
2014-10-18,0,0,0.0,0.0,,,,
