date,num_c,num_c_with,sum_mood,sum_mood_with
2014-11-27,5,0,-0.5699138920754194,0.0
2014-11-28,9,0,-2.6354692956228973,0.0
2014-11-29,2,0,-0.8138947486877441,0.0
2014-11-30,3,0,-0.7166178897023201,0.0
2014-12-01,5,0,-3.027408156078309,0.0
2014-12-02,28,0,-3.698767448309809,0.0
2014-12-03,14,0,-2.655076984621701,0.0
2014-12-04,60,1,-10.262572845458635,0.3075622678734362
2014-12-05,9,0,-0.9127182527445257,0.0
2014-12-06,3,0,-0.8333176304586232,0.0
2014-12-07,33,0,-1.8114401287020883,0.0
2014-12-08,36,0,-6.955500889016548,0.0
2014-12-09,3,0,-0.39131954724143725,0.0
2014-12-10,13,0,-2.27287308468658,0.0
2014-12-11,32,0,-4.269282877037767,0.0
2014-12-12,24,4,-3.5880638614762574,-0.5691988058388233
2014-12-13,7,1,-0.9658891293220222,-0.047783926129341125
2014-12-14,3,0,-0.6286692847497761,0.0
2014-12-15,38,0,-6.892179574162583,0.0
2014-12-16,59,0,-5.941829327159212,0.0
2014-12-17,58,5,-12.70034875170677,-1.5325791691429913
2014-12-18,11,0,-0.43122218987264205,0.0
2014-12-19,24,0,-2.0131654682190856,0.0
2014-12-20,6,0,-1.0851157052820781,0.0
2014-12-21,1,0,-0.0007723585003986955,0.0
2014-12-22,5,0,-1.0517920036800206,0.0
2014-12-23,41,0,-5.137261873926036,0.0
2014-12-24,36,0,-5.166582035366446,0.0
2014-12-25,13,0,-1.6736406635027379,0.0
2014-12-26,7,0,-0.3669595061801374,0.0
2014-12-27,1,0,-0.051770868711173534,0.0
2014-12-28,1,0,-0.19330011308193207,0.0
2014-12-29,0,0,0.0,0.0
2014-12-30,3,0,-0.3739534504711628,0.0
2014-12-31,0,0,0.0,0.0
2015-01-01,0,0,0.0,0.0
2015-01-02,0,0,0.0,0.0
2015-01-03,0,0,0.0,0.0
2015-01-04,0,0,0.0,0.0
2015-01-05,0,0,0.0,0.0
2015-01-06,0,0,0.0,0.0
