post_id,text,comment_time,from_id,clean_text,keyword_i,mood
1278686,И что там в бункере?????,1618493348,164918697,и что там в бункере,0,-0.009569350309902802
1278686,"ну наконец то, норм санкшен",1618494106,14679809,ну наконец то норм санкшен,0,0.7697186321020126
1278686,"Запарили санкциями , мы и с ними , и без них , где наша не пропадала",1618502423,66714487,запарили санкциями  мы и с ними  и без них  где наша не пропадала,0,-0.416492972522974
1278686,Фак! Чо делать то теперь?! Ахахахаааа!,1618521648,14823182,фак чо делать то теперь ахахахаааа,0,0.888976875692606
1811170,Всемирная игра с воздухом...,1677762605,336124668,всемирная игра с воздухом,0,-0.13087814394384623
1032937,"МОИ СТИХИ 
Моя Россия щедра просторна и любима. 
Желает быть тобой любима. 
Надежд твоих желанных свет. 
Трудов твоих и отношений добрых. 
Желает мне добра Россия. 
Здоровья много счастья. 
Любви большой любви прекрасной. 
Достатка много и добра. 
Всех благ земных и даже больше. 
Желаний и трудов достичь. 
Всех благ тебе моя Россия.",1577333259,234845882,мои стихи  моя россия щедра просторна и любима  желает быть тобой любима  надежд твоих желанных свет  трудов твоих и отношений добрых  желает мне добра россия  здоровья много счастья  любви большой любви прекрасной  достатка много и добра  всех благ земных и даже больше  желаний и трудов достичь  всех благ тебе моя россия,0,0.11111314594745636
1032937,"эти птенцы гайдара,снова готовят приватизацию и обнуление счетов?",1577333760,30122036,эти птенцы гайдараснова готовят приватизацию и обнуление счетов,0,-0.20171921700239182
1032937,"Наебуллиной давно уже пора присесть на бутылку
Политическая проститутка , которая позволяет путлеровским олигархам и коррупционерам обанкротить свыше 500 банков рф",1577334448,452824528,наебуллиной давно уже пора присесть на бутылку политическая проститутка  которая позволяет путлеровским олигархам и коррупционерам обанкротить свыше 500 банков рф,0,-0.4570432975888252
1032937,А ФРС возражать не будет? Уж не самовольничает ли Набиулина?!,1577335219,112077458,а фрс возражать не будет уж не самовольничает ли набиулина,0,-0.6779338851338252
1032937,она что-то решает?,1577335221,2589451,она чтото решает,0,0.0009110511309700087
1032937,Еще бы такую кормушку отдать..,1577335638,4726535,еще бы такую кормушку отдать,0,0.02567046880722046
1032937,вот она прям взяла и не захотела отдавать,1577337133,565759841,вот она прям взяла и не захотела отдавать,0,0.06379789113998413
1032937,"Это кремлёвские тролли в комментах что ли? Или дурачьё, которое не понимает, что правительству , категорически НЕЛЬЗЯ отдавать главный банк страны.👆🏻",1577337220,66253463,это кремлёвские тролли в комментах что ли или дурачьё которое не понимает что правительству  категорически нельзя отдавать главный банк страны👆🏻,0,-0.3246360719203949
1032937,"Она не хочет ,так кто ж её спросит",1577340742,128271467,она не хочет так кто ж её спросит,0,-0.05778987519443035
1032937,ЦБ выполняет указания    МВФ!,1577343297,511698000,цб выполняет указания    мвф,0,0.025687862187623978
1032937,Россия выполняет дорожную карту по вступлению в ВТО .,1577369187,236916283,россия выполняет дорожную карту по вступлению в вто ,0,-0.157246682792902
1032937,"кем бы не был геращенко,но про наебулину заметил точно!",1577417645,322498964,кем бы не был геращенконо про наебулину заметил точно,0,-0.3409131560474634
1032937,Тварь госдеповская,1577434304,36671842,тварь госдеповская,0,-0.035290788393467665
1295084,Надоели россияне повышать цены.,1623407655,140700920,надоели россияне повышать цены,0,-0.4852843009866774
1295084,По ней тюрьма плачет...,1623407825,59127952,по ней тюрьма плачет,0,-0.21412049233913422
1295084,"Хех, кремлевские  му даки накручивают инфляцию.😁",1623412514,430242554,хех кремлевские  му даки накручивают инфляцию😁,0,-0.4500151127576828
1295084,"Крупные покупки хлеба, вместо полбуханки, буханку",1623530256,347124633,крупные покупки хлеба вместо полбуханки буханку,0,-0.22139554657042027
1295084,УРА опять станет жить легче.Все цены подскочат на 75%👍,1623697551,134574650,ура опять станет жить легчевсе цены подскочат на 75👍,0,-0.16842786595225334
1172218,А нет прогноза когда Путин сдохнет?,1595613721,82705366,а нет прогноза когда путин сдохнет,0,-0.6277868694160134
1172218,С тобой Россия экономической труп.,1595613779,22489269,с тобой россия экономической труп,0,-0.04786357656121254
1172218,"До 2040-го, не раньше",1595613802,83743750,до 2040го не раньше,0,0.00022439751774072647
1172218,только не с этой рожей,1595614068,385358324,только не с этой рожей,0,-0.12159124994650483
1172218,"Полтора года это много, может действительно пусть карлик уйдёт",1595614340,248305444,полтора года это много может действительно пусть карлик уйдёт,0,0.054331548511981964
1172218,одни обещания более 20 лет .. и верят же этим ..,1595614671,266926838,одни обещания более 20 лет  и верят же этим ,0,-0.3538512233644724
1172218,жулики должны строить пирамиды,1595615261,108555361,жулики должны строить пирамиды,0,-0.6821249756030738
1172218,Вопрос: а «более» - это на сколько именно более?,1595615652,162732694,вопрос а «более»  это на сколько именно более,0,-0.017839728854596615
1172218,"А че что-то работает,по моему одни чиновники только.",1595615848,579421466,а че чтото работаетпо моему одни чиновники только,0,-0.20754700154066086
1172218,Занят Блэт,1595616212,50386659,занят блэт,0,-0.008108373265713453
1172218,"Прогноз))
На западные страны смотри пару месяцев и дели на 2 для России.
Вот и весь прогноз..
Зато правительственные чиновники в поряде с зарплатами, как в США и ЕС.",1595616973,13951367,прогноз на западные страны смотри пару месяцев и дели на 2 для россии вот и весь прогноз зато правительственные чиновники в поряде с зарплатами как в сша и ес,0,0.03501246124505997
1172218,Как Саркози с Путиным делили шоколадку https://www.youtube.com/watch?v=9eQf5L1e2BY,1595630798,605046854,как саркози с путиным делили шоколадку httpswwwyoutubecomwatchv9eqf5l1e2by,0,-0.05108016915619373
1172218,После 2036 года.,1595650319,13139548,после 2036 года,0,-0.008179888362064958
1172218,"ничего хорошего точно в последующие годы не будет, ЕНВД отменяют и следовательно многие ипэшники закроются или уйдут в тень",1595657995,14231123,ничего хорошего точно в последующие годы не будет енвд отменяют и следовательно многие ипэшники закроются или уйдут в тень,0,-0.21613681316375732
1803004,"Ага, ""Пускай простой народ скидывается добровольческим организациям. У нас столько миллиардов, что прожрать не сможем за всю жизнь, но делиться не будем с быдлом всяким""",1676717831,77913901,ага пускай простой народ скидывается добровольческим организациям у нас столько миллиардов что прожрать не сможем за всю жизнь но делиться не будем с быдлом всяким,0,-0.2688918523490429
1803004,"грамотным решением, будет полная национализация добывающих компаний и тяжёлой промышленности, чтобы эти структуры работали на благо государства а не прихватизаторов.",1676717852,30122036,грамотным решением будет полная национализация добывающих компаний и тяжёлой промышленности чтобы эти структуры работали на благо государства а не прихватизаторов,0,-0.22495543956756592
1803004,"если бы изначально все было прозрачно, и бизнес не уходил от налогов , то и не пришлось бы это делать. Весь бизнес в РФ завязан на том , как бы на...ать государство , а сейчас они видите ли взвыли . ИМХО",1676718220,649437486,если бы изначально все было прозрачно и бизнес не уходил от налогов  то и не пришлось бы это делать весь бизнес в рф завязан на том  как бы наать государство  а сейчас они видите ли взвыли  имхо,0,-0.4585934057831764
1803004,Списание и изъятие это разное.,1676719042,96954976,списание и изъятие это разное,0,-0.1282424610108137
1803004,🐐,1676719439,381560090,🐐,0,0.0
1860352,"ЦБ реально оценивают продолжение санкционного давления на экономику России от Запада. Премьер Михаил Мишустин сказал,что экономика России адаптировалась к санкционному давлению,чувствует себя хорошо,продолжает импортозамещение и развитие по своим технологиям.ЦБ РФ и Правительство РФ высокопрофессиональные специалисты, найдут выход из всех неприятных для страны и экономики ситуаций.Есть дружественные страны, вместе прорвёмся в западной санкционной войне.",1691756530,712198827,цб реально оценивают продолжение санкционного давления на экономику россии от запада премьер михаил мишустин сказалчто экономика россии адаптировалась к санкционному давлениючувствует себя хорошопродолжает импортозамещение и развитие по своим технологиямцб рф и правительство рф высокопрофессиональные специалисты найдут выход из всех неприятных для страны и экономики ситуацийесть дружественные страны вместе прорвёмся в западной санкционной войне,0,-0.054085277020931244
1344259,Больше его никто не видел...🙁,1638223522,6547894,больше его никто не видел🙁,0,-0.16117534041404724
